Year,Month,Anomaly
1849,7,0.716
1849,8,0.643
1849,9,-1.163
1849,10,-1.668
1849,11,-1.854
1849,12,-2.498
1850,1,-1.681
1850,2,-1.890
1850,3,-1.887
1850,4,0.024
1850,5,-0.471
1850,6,-0.888
1850,7,-1.141
1850,8,0.661
1850,9,-0.481
1850,10,-0.595
1850,11,-2.002
1850,12,-2.892
1851,1,-0.786
1851,2,-1.901
1851,3,-0.342
1851,4,0.907
1851,5,-0.335
1851,6,0.508
1851,7,-0.969
1851,8,0.434
1851,9,-0.852
1851,10,-0.444
1851,11,-0.981
1851,12,-1.036
1852,1,-0.870
1852,2,-0.474
1852,3,-1.674
1852,4,-1.396
1852,5,-0.320
1852,6,0.611
1852,7,-0.200
1852,8,-1.206
1852,9,-0.903
1852,10,-2.372
1852,11,-1.299
1852,12,-0.787
1853,1,-1.070
1853,2,-1.598
1853,3,0.608
1853,4,1.227
1853,5,0.814
1853,6,1.143
1853,7,0.240
1853,8,-1.380
1853,9,-0.698
1853,10,-0.558
1853,11,-0.281
1853,12,0.128
1854,1,-1.654
1854,2,-1.297
1854,3,-0.196
1854,4,1.469
1854,5,-1.278
1854,6,-1.357
1854,7,1.311
1854,8,-1.406
1854,9,-2.709
1854,10,-1.513
1854,11,0.127
1854,12,-0.073
1855,1,-1.139
1855,2,0.377
1855,3,1.153
1855,4,0.613
1855,5,-0.759
1855,6,0.755
1855,7,-1.086
1855,8,-0.430
1855,9,-1.676
1855,10,-0.328
1855,11,-1.981
1855,12,-2.058
1856,1,-0.553
1856,2,-0.380
1856,3,1.429
1856,4,0.617
1856,5,-0.179
1856,6,1.002
1856,7,-0.008
1856,8,-0.968
1856,9,-1.205
1856,10,-3.169
1856,11,-1.624
1856,12,-2.611
1857,1,0.102
1857,2,-0.865
1857,3,1.579
1857,4,2.216
1857,5,0.575
1857,6,0.907
1857,7,-1.731
1857,8,-0.606
1857,9,-1.584
1857,10,-1.073
1857,11,-0.651
1857,12,-0.011
1858,1,-1.120
1858,2,-0.178
1858,3,-0.349
1858,4,0.302
1858,5,0.583
1858,6,0.229
1858,7,-1.399
1858,8,-1.487
1858,9,-0.686
1858,10,-1.954
1858,11,-0.430
1858,12,-2.312
1859,1,-1.271
1859,2,-1.126
1859,3,-1.880
1859,4,-1.334
1859,5,-0.443
1859,6,1.637
1859,7,-1.774
1859,8,-2.237
1859,9,-2.359
1859,10,-0.604
1859,11,-0.544
1859,12,-1.974
1860,1,-0.839
1860,2,-1.283
1860,3,0.044
1860,4,0.090
1860,5,-1.613
1860,6,-1.461
1860,7,-0.955
1860,8,-0.332
1860,9,-1.036
1860,10,-1.408
1860,11,-0.707
1860,12,0.387
1861,1,-0.555
1861,2,0.201
1861,3,0.711
1861,4,1.644
1861,5,0.515
1861,6,-0.282
1861,7,-0.053
1861,8,-1.147
1861,9,-1.044
1861,10,-1.216
1861,11,-0.104
1861,12,1.884
1862,1,-0.209
1862,2,-2.564
1862,3,-0.246
1862,4,-0.476
1862,5,-0.636
1862,6,0.290
1862,7,-0.285
1862,8,0.082
1862,9,-0.235
1862,10,0.887
1862,11,-0.326
1862,12,-0.875
1863,1,-0.767
1863,2,-2.074
1863,3,1.281
1863,4,1.322
1863,5,1.391
1863,6,0.197
1863,7,-0.267
1863,8,-1.331
1863,9,-0.337
1863,10,-0.484
1863,11,-1.322
1863,12,-0.400
1864,1,1.115
1864,2,0.442
1864,3,0.861
1864,4,1.858
1864,5,1.954
1864,6,0.148
1864,7,-0.886
1864,8,0.058
1864,9,-0.903
1864,10,-0.731
1864,11,-0.874
1864,12,0.223
1865,1,-0.271
1865,2,-2.109
1865,3,-0.868
1865,4,-0.407
1865,5,2.731
1865,6,0.649
1865,7,-1.234
1865,8,-0.560
1865,9,-1.128
1865,10,-1.017
1865,11,0.631
